feature_name,usage_records,total_usage_count,total_duration_secs,total_errors,beta_share
feature_32,659,6686,2052316,357,0.10166919575113809
feature_15,640,6621,1966988,349,0.115625
feature_6,655,6546,2013972,339,0.1083969465648855
feature_20,643,6541,1947193,308,0.09642301710730948
feature_34,650,6536,2006721,397,0.10307692307692308
feature_12,659,6534,2061481,359,0.09863429438543247
feature_11,643,6533,2012779,352,0.09331259720062209
feature_2,642,6525,1935694,401,0.10747663551401869
feature_38,643,6478,1942257,356,0.11353032659409021
feature_26,649,6470,1976377,417,0.0970724191063174
feature_17,651,6458,1950827,369,0.09216589861751152
feature_39,631,6430,1945263,357,0.08874801901743265
feature_31,644,6425,1834473,335,0.09627329192546584
feature_36,648,6389,1874832,371,0.09722222222222222
feature_24,643,6388,2070250,349,0.10730948678071539
